Borghi;FC;B001
Borgia;CZ;B002
Borgiallo;TO;B003
Borgio Verezzi;SV;B005
Borgo Valsugana;TN;B006
Borgo a Mozzano;LU;B007
Borgorose;RI;B008
Borgo d'Ale;VC;B009
Borgo di Terzo;BG;B010
Motteggiana;MN;B012
Suardi;PV;B014
Borgofranco d'Ivrea;TO;B015
Borgolavezzaro;NO;B016
Borgo San Giovanni;LO;B017
Borgomale;CN;B018
Borgomanero;NO;B019
Borgomaro;IM;B020
Borgomasino;TO;B021
Borgone Susa;TO;B024
Borgonovo Val Tidone;PC;B025
Borgo Pace;PU;B026
Borgo Priolo;PV;B028
Borgoratto Alessandrino;AL;B029
Borgoratto Mormorolo;PV;B030
Borgoricco;PD;B031
Borgo San Dalmazzo;CN;B033
Fidenza;PR;B034
Borgo San Giacomo;BS;B035
Borgo San Lorenzo;FI;B036
Borgo San Martino;AL;B037
Borgo San Siro;PV;B038
Borgosatollo;BS;B040
Borgosesia;VC;B041
Borgo Val di Taro;PR;B042
Borgo Ticino;NO;B043
Borgo Tossignano;BO;B044
Borgo Vercelli;VC;B046
Bormida;SV;B048
Bormio;SO;B049
Bornasco;PV;B051
Borno;BS;B054
Boroneddu;OR;B055
Borore;NU;B056
Borrello;CH;B057
Borriana;BI;B058
Borso del Grappa;TV;B061
Bortigali;NU;B062
Bortigiadas;SS;B063
Borutta;SS;B064
Borzonasca;GE;B067
Bosa;OR;B068
Bosaro;RO;B069
Boschi Sant'Anna;VR;B070
Bosco Marengo;AL;B071
Bosco Chiesanuova;VR;B073
Bosconero;TO;B075
Boscoreale;NA;B076
Boscotrecase;NA;B077
Bosia;CN;B079
Bosio;AL;B080
Bosisio Parini;LC;B081
Bosnasco;PV;B082
Bossico;BG;B083
Bossolasco;CN;B084
Botricello;CZ;B085
Botrugno;LE;B086
Bottanuco;BG;B088
Botticino;BS;B091
Bottidda;SS;B094
Bova;RC;B097
Bovalino;RC;B098
Bova Marina;RC;B099
Bovegno;BS;B100
Boves;CN;B101
Bovezzo;BS;B102
Bovino;FG;B104
Bovisio-Masciago;MB;B105
Bovolenta;PD;B106
Bovolone;VR;B107
Bozzole;AL;B109
Bozzolo;MN;B110
Bra;CN;B111
Bracca;BG;B112
Bracciano;RM;B114
Bracigliano;SA;B115
Braies/Prags;BZ;B116
Brallo di Pregola;PV;B117
Brancaleone;RC;B118
Brandico;BS;B120
Brandizzo;TO;B121
Branzi;BG;B123
Braone;BS;B124
Brebbia;VA;B126
Breda di Piave;TV;B128
Castelverde;CR;B129
Bregano;VA;B131
Breganze;VI;B132
Bregnano;CO;B134
Brembate;BG;B137
Brembate di Sopra;BG;B138
Brembio;LO;B141
Breme;PV;B142
Brendola;VI;B143
Brenna;CO;B144
Brennero/Brenner;BZ;B145
Breno;BS;B149
Brenta;VA;B150
Brentino Belluno;VR;B152
Brentonico;TN;B153
Brenzone sul Garda;VR;B154
Brescello;RE;B156
Brescia;BS;B157
Bresimo;TN;B158
Bressana Bottarone;PV;B159
Bressanone/Brixen;BZ;B160
Bressanvido;VI;B161
Bresso;MI;B162
Brez;TN;B165
Brezzo di Bedero;VA;B166
Briaglia;CN;B167
Briatico;VV;B169
Bricherasio;TO;B171
Brienno;CO;B172
Brienza;PZ;B173
Briga Alta;CN;B175
Briga Novarese;NO;B176
Brignano Gera d'Adda;BG;B178
Brignano-Frascata;AL;B179
Brindisi;BR;B180
Brindisi Montagna;PZ;B181
Brinzio;VA;B182
Briona;NO;B183
Brione;BS;B184
Briosco;MB;B187
Brisighella;RA;B188
Brissago-Valtravaglia;VA;B191
Brissogne;AO;B192
Brittoli;PE;B193
Brivio;LC;B194
Broccostella;FR;B195
Brogliano;VI;B196
Brognaturo;VV;B197
Brolo;ME;B198
Brondello;CN;B200
Broni;PV;B201
Bronte;CT;B202
Bronzolo/Branzoll;BZ;B203
Brossasco;CN;B204
Brosso;TO;B205
Brovello-Carpugnino;VB;B207
Brozolo;TO;B209
Brugherio;MB;B212
Brugine;PD;B213
Brugnato;SP;B214
Brugnera;PN;B215
Bruino;TO;B216
Brumano;BG;B217
Brunate;CO;B218
Brunello;VA;B219
Brunico/Bruneck;BZ;B220
Bruno;AT;B221
Brusaporto;BG;B223
Brusasco;TO;B225
Brusciano;NA;B227
Brusimpiano;VA;B228
Brusnengo;BI;B229
Brusson;AO;B230
Bruzolo;TO;B232
Bruzzano Zeffirio;RC;B234
Bubbiano;MI;B235
Bubbio;AT;B236
Buccheri;SR;B237
Bucchianico;CH;B238
Bucciano;BN;B239
Buccinasco;MI;B240
Buccino;SA;B242
Bucine;AR;B243
Buddusò;SS;B246
Budoia;PN;B247
Budoni;SS;B248
Budrio;BO;B249
Buggerru;SU;B250
Buggiano;PT;B251
Buglio in Monte;SO;B255
Bugnara;AQ;B256
Buguggiate;VA;B258
Buja;UD;B259
Bulciago;LC;B261
Bulgarograsso;CO;B262
Bultei;SS;B264
Bulzi;SS;B265
Buonabitacolo;SA;B266
Buonalbergo;BN;B267
Montebello sul Sangro;CH;B268
Buonconvento;SI;B269
Buonvicino;CS;B270
Burago di Molgora;MB;B272
Burcei;SU;B274
Burgio;AG;B275
Burgos;SS;B276
Buriasco;TO;B278
Burolo;TO;B279
Buronzo;VC;B280
Busachi;OR;B281
Busalla;GE;B282
Busano;TO;B284
Busca;CN;B285
Buscate;MI;B286
Buscemi;SR;B287
Buseto Palizzolo;TP;B288
Busnago;MB;B289
Bussero;MI;B292
Busseto;PR;B293
Bussi sul Tirino;PE;B294
Busso;CB;B295
Bussolengo;VR;B296
Bussoleno;TO;B297
Busto Arsizio;VA;B300
Busto Garolfo;MI;B301
Butera;CL;B302
Buti;PI;B303
Buttapietra;VR;B304
Buttigliera Alta;TO;B305
Buttigliera d'Asti;AT;B306
Buttrio;UD;B309
San Paolo d'Argon;BG;B310
Cabella Ligure;AL;B311
Castello Cabiaglio;VA;B312
Cabiate;CO;B313
Cabras;OR;B314
Caccamo;PA;B315
Poggio Sannita;IS;B317
Caccuri;KR;B319
Cadegliano-Viconago;VA;B326
Cadelbosco di Sopra;RE;B328
Cadeo;PC;B332
Caderzone Terme;TN;B335
Cadoneghe;PD;B345
Cadorago;CO;B346
Caerano di San Marco;TV;B349
Cafasse;TO;B350
Caggiano;SA;B351
Cagli;PU;B352
Cagliari;CA;B354
Caglio;CO;B355
Cagnano Varano;FG;B357
Cagnano Amiterno;AQ;B358
Cagnò;TN;B360
Caianello;CE;B361
Caiazzo;CE;B362
Caines/Kuens;BZ;B364
Caino;BS;B365
Caiolo;SO;B366
Cairano;AV;B367
Cairate;VA;B368
Cairo Montenotte;SV;B369
Caivano;NA;B371
Calabritto;AV;B374
Calalzo di Cadore;BL;B375
Calamandrana;AT;B376
Calamonaci;AG;B377
Calangianus;SS;B378
Calanna;RC;B379
Calasca-Castiglione;VB;B380
Calascibetta;EN;B381
Calascio;AQ;B382
Calasetta;SU;B383
Calatabiano;CT;B384
Calatafimi-Segesta;TP;B385
Lungavilla;PV;B387
Calcata;VT;B388
Calceranica al Lago;TN;B389
Calci;PI;B390
Calciano;MT;B391
Calcinaia;PI;B392
Calcinate;BG;B393
Calcinato;BS;B394
Calcio;BG;B395
Calco;LC;B396
Caldaro sulla strada del vino/Kaltern an der Weinstraße;BZ;B397
Caldarola;MC;B398
Calderara di Reno;BO;B399
Caldes;TN;B400
Caldiero;VR;B402
Caldogno;VI;B403
Caldonazzo;TN;B404
Calendasco;PC;B405
Calenzano;FI;B406
Calestano;PR;B408
Calice Ligure;SV;B409
Calice al Cornoviglio;SP;B410
Calimera;LE;B413
Calitri;AV;B415
Calizzano;SV;B416
Callabiana;BI;B417
Calliano;AT;B418
Calliano;TN;B419
Calolziocorte;LC;B423
Calopezzati;CS;B424
Calosso;AT;B425
Caloveto;CS;B426
Caltabellotta;AG;B427
Caltagirone;CT;B428
Caltanissetta;CL;B429
Caltavuturo;PA;B430
Caltignaga;NO;B431
Calto;RO;B432
Caltrano;VI;B433
Calusco d'Adda;BG;B434
Caluso;TO;B435
Calvagese della Riviera;BS;B436
Calvanico;SA;B437
Calvatone;CR;B439
Calvello;PZ;B440
Calvene;VI;B441
Calvenzano;BG;B442
Calvera;PZ;B443
Calvi;BN;B444
Calvi Risorta;CE;B445
Calvi dell'Umbria;TR;B446
Calvignano;PV;B447
Calvignasco;MI;B448
Calvisano;BS;B450
Calvizzano;NA;B452
Camagna Monferrato;AL;B453
Camaiore;LU;B455
Camandona;BI;B457
Camastra;AG;B460
Cambiago;MI;B461
Cambiano;TO;B462
Cambiasca;VB;B463
Camburzano;BI;B465
Sant'Elena Sannita;IS;B466
Camerana;CN;B467
Camerano;AN;B468
Camerano Casasco;AT;B469
Camerata Picena;AN;B470
Camerata Cornello;BG;B471
Camerata Nuova;RM;B472
Cameri;NO;B473
Camerino;MC;B474
Camerota;SA;B476
Camigliano;CE;B477
Camini;RC;B481
Camino;AL;B482
Camino al Tagliamento;UD;B483
Camisano;CR;B484
Camisano Vicentino;VI;B485
Cammarata;AG;B486
Camogli;GE;B490
Chamois;AO;B491
Campagna;SA;B492
Campagna Lupia;VE;B493
Castel Campagnano;CE;B494
Campagnano di Roma;RM;B496
Campagnatico;GR;B497
Campagnola Cremasca;CR;B498
Campagnola Emilia;RE;B499
Campana;CS;B500
Camparada;MB;B501
Campegine;RE;B502
Campello sul Clitunno;PG;B504
Campertogno;VC;B505
Campi Salentina;LE;B506
Campi Bisenzio;FI;B507
Campiglia Marittima;LI;B509
Valprato Soana;TO;B510
Campiglia dei Berici;VI;B511
Campiglione Fenile;TO;B512
Campione d'Italia;CO;B513
Campitello di Fassa;TN;B514
Campli;TE;B515
Campo Calabro;RC;B516
Campobasso;CB;B519
Campobello di Licata;AG;B520
Campobello di Mazara;TP;B521
Campochiaro;CB;B522
Campodarsego;PD;B524
Campodenno;TN;B525
Campo di Giove;AQ;B526
Campodimele;LT;B527
Campodipietra;CB;B528
Campo di Trens/Freienfeld;BZ;B529
Campodolcino;SO;B530
Campodoro;PD;B531
Campofelice di Roccella;PA;B532
Campofelice di Fitalia;PA;B533
Campofilone;FM;B534
Campofiorito;PA;B535
Campoformido;UD;B536
Campofranco;CL;B537
Campo Ligure;GE;B538
Campogalliano;MO;B539
Champorcher;AO;B540
Campolattaro;BN;B541
Campoli del Monte Taburno;BN;B542
Campoli Appennino;FR;B543
Campolieto;CB;B544
Campolongo Maggiore;VE;B546
Campomaggiore;PZ;B549
Campomarino;CB;B550
Campomorone;GE;B551
Campo nell'Elba;LI;B553
Camponogara;VE;B554
Campora;SA;B555
Camporeale;PA;B556
Camporgiano;LU;B557
Camporosso;IM;B559
Camporotondo Etneo;CT;B561
Camporotondo di Fiastrone;MC;B562
Camposampiero;PD;B563
Campo San Martino;PD;B564
Camposano;NA;B565
Camposanto;MO;B566
Campospinoso;PV;B567
Campotosto;AQ;B569
Campo Tures/Sand in Taufers;BZ;B570
Camugnano;BO;B572
Canale;CN;B573
Canale d'Agordo;BL;B574
Canale Monterano;RM;B576
Canal San Bovo;TN;B577
Canaro;RO;B578
Canazei;TN;B579
Cancellara;PZ;B580
Cancello ed Arnone;CE;B581
Canda;RO;B582
Candela;FG;B584
Candelo;BI;B586
Candia Lomellina;PV;B587
Candia Canavese;TO;B588
Candiana;PD;B589
Candida;AV;B590
Candidoni;RC;B591
Candiolo;TO;B592
Canegrate;MI;B593
Canelli;AT;B594
Orvinio;RI;B595
Canepina;VT;B597
Caneva;PN;B598
Canicattì;AG;B602
Canicattini Bagni;SR;B603
Canino;VT;B604
Canischio;TO;B605
Canistro;AQ;B606
Canna;CS;B607
Cannalonga;SA;B608
Cannara;PG;B609
Cannero Riviera;VB;B610
Canneto sull'Oglio;MN;B612
Canneto Pavese;PV;B613
Cannobio;VB;B615
Cannole;LE;B616
Canolo;RC;B617
Canonica d'Adda;BG;B618
Canosa di Puglia;BT;B619
Canosa Sannita;CH;B620
Canosio;CN;B621
Cansano;AQ;B624
Cantagallo;PO;B626
Cantalice;RI;B627
Cantalupa;TO;B628
Cantalupo Ligure;AL;B629
Cantalupo nel Sannio;IS;B630
Cantalupo in Sabina;RI;B631
Mandela;RM;B632
Cantarana;AT;B633
Cantello;VA;B634
Canterano;RM;B635
Cantiano;PU;B636
Cantoira;TO;B637
Cantù;CO;B639
Canzano;TE;B640
Canzo;CO;B641
Caorle;VE;B642
Caorso;PC;B643
Capaccio Paestum;SA;B644
Capaci;PA;B645
Capalbio;GR;B646
Capannoli;PI;B647
Capannori;LU;B648
Capena;RM;B649
Capergnanica;CR;B650
Capestrano;AQ;B651
Capiago Intimiano;CO;B653
Capistrano;VV;B655
Capistrello;AQ;B656
Capitignano;AQ;B658
Capizzi;ME;B660
Capizzone;BG;B661
Ponte nelle Alpi;BL;B662
Capodimonte;VT;B663
Capo di Ponte;BS;B664
Capo d'Orlando;ME;B666
Capodrise;CE;B667
Capoliveri;LI;B669
Capolona;AR;B670
Caponago;MB;B671
Caporciano;AQ;B672
Caposele;AV;B674
Capoterra;CA;B675
Capovalle;BS;B676
Cappadocia;AQ;B677
Cappella Maggiore;TV;B678
Cappella Cantone;CR;B679
Cappella de' Picenardi;CR;B680
Cappelle sul Tavo;PE;B681
Capracotta;IS;B682
Capraia e Limite;FI;B684
Capraia Isola;LI;B685
Capralba;CR;B686
Capranica Prenestina;RM;B687
Capranica;VT;B688
Marzabotto;BO;B689
Caprarica di Lecce;LE;B690
Caprarola;VT;B691
Caprauna;CN;B692
Caprese Michelangelo;AR;B693
Caprezzo;VB;B694
Capri Leone;ME;B695
Capri;NA;B696
Capriana;TN;B697
Capriano del Colle;BS;B698
Capriata d'Orba;AL;B701
Capriate San Gervasio;BG;B703
Capriati a Volturno;CE;B704
Caprie;TO;B705
Capriglia Irpina;AV;B706
Capriglio;AT;B707
Caprile;BI;B708
Caprino Veronese;VR;B709
Caprino Bergamasco;BG;B710
Capriolo;BS;B711
Capriva del Friuli;GO;B712
Capua;CE;B715
Capurso;BA;B716
Caraffa di Catanzaro;CZ;B717
Caraffa del Bianco;RC;B718
Caraglio;CN;B719
Caramagna Piemonte;CN;B720
Caramanico Terme;PE;B722
Carano;TN;B723
Carapelle;FG;B724
Carapelle Calvisio;AQ;B725
Carasco;GE;B726
Carassai;AP;B727
Carate Brianza;MB;B729
Carate Urio;CO;B730
Caravaggio;BG;B731
Caravate;VA;B732
Caravino;TO;B733
Caravonica;IM;B734
Carbognano;VT;B735
Carbonara Scrivia;AL;B736
Villasimius;SU;B738
Carbonara di Nola;NA;B740
Carbonara al Ticino;PV;B741
Carbonate;CO;B742
Carbone;PZ;B743
Carbonera;TV;B744
Carbonia;SU;B745
Carcare;SV;B748
Carceri;PD;B749
Carcoforo;VC;B752
Cardano al Campo;VA;B754
Cardè;CN;B755
Cardeto;RC;B756
Cardinale;CZ;B758
Cardito;NA;B759
Careggine;LU;B760
Carema;TO;B762
Carenno;LC;B763
Carentino;AL;B765
Careri;RC;B766
Caresana;VC;B767
Caresanablot;VC;B768
Carezzano;AL;B769
Carfizzi;KR;B771
Cargeghe;SS;B772
Cariati;CS;B774
Carife;AV;B776
Carignano;TO;B777
Carimate;CO;B778
Carinaro;CE;B779
Carini;PA;B780
Carinola;CE;B781
Carisio;VC;B782
Carisolo;TN;B783
Carlantino;FG;B784
Carlazzo;CO;B785
Carlentini;SR;B787
Carlino;UD;B788
Carloforte;SU;B789
Carlopoli;CZ;B790
Carmagnola;TO;B791
Carmiano;LE;B792
Carmignano;PO;B794
Carmignano di Brenta;PD;B795
Carnago;VA;B796
Carnate;MB;B798
Cornedo all'Isarco/Karneid;BZ;B799
Carobbio degli Angeli;BG;B801
Carolei;CS;B802
Carona;BG;B803
Caronia;ME;B804
Caronno Pertusella;VA;B805
Caronno Varesino;VA;B807
Carosino;TA;B808
Carovigno;BR;B809
Carovilli;IS;B810
Carpaneto Piacentino;PC;B812
Carpanzano;CS;B813
Carpegna;PU;B816
Carpenedolo;BS;B817
Carpeneto;AL;B818
Carpi;MO;B819
Carpiano;MI;B820
Carpignano Salentino;LE;B822
Carpignano Sesia;NO;B823
Cura Carpignano;PV;B824
Carpineti;RE;B825
Carpineto Sinello;CH;B826
Carpineto della Nora;PE;B827
Carpineto Romano;RM;B828
Carpino;FG;B829
Carpinone;IS;B830
Carrara;MS;B832
Carrè;VI;B835
Carrega Ligure;AL;B836
Carro;SP;B838
Carrodano;SP;B839
Carrosio;AL;B840
Carrù;CN;B841
Carsoli;AQ;B842
Cartigliano;VI;B844
Cartignano;CN;B845
Cartoceto;PU;B846
Cartosio;AL;B847
Cartura;PD;B848
Carugate;MI;B850
Carugo;CO;B851
Carunchio;CH;B853
Carvico;BG;B854
Carzano;TN;B856
Casabona;KR;B857
Casacalenda;CB;B858
Casacanditella;CH;B859
Casagiove;CE;B860
Casalanguida;CH;B861
Casalattico;FR;B862
Casalbeltrame;NO;B864
Casalbordino;CH;B865
Casalbore;AV;B866
Casalborgone;TO;B867
Casalbuono;SA;B868
Casalbuttano ed Uniti;CR;B869
Casal Cermelli;AL;B870
Casalciprano;CB;B871
Casal di Principe;CE;B872
Casalduni;BN;B873
Casale Litta;VA;B875
Casale Corte Cerro;VB;B876
Casale di Scodosia;PD;B877
Casale Marittimo;PI;B878
Casale sul Sile;TV;B879
Casalecchio di Reno;BO;B880
Casale Cremasco-Vidolasco;CR;B881
Casaleggio Boiro;AL;B882
Casaleggio Novara;NO;B883
Casale Monferrato;AL;B885
Casaleone;VR;B886
Casaletto Lodigiano;LO;B887
Casaletto Spartano;SA;B888
Casaletto Ceredano;CR;B889
Casaletto di Sopra;CR;B890
Casaletto Vaprio;CR;B891
Casalfiumanese;BO;B892
Casalgrande;RE;B893
Casalgrasso;CN;B894
Casal Velino;SA;B895
Casalincontrada;CH;B896
Casalino;NO;B897
Casalmaggiore;CR;B898
Casalmaiocco;LO;B899
Casalmorano;CR;B900
Casalmoro;MN;B901
Casalnoceto;AL;B902
Villapiana;CS;B903
Casalnuovo Monterotaro;FG;B904
Casalnuovo di Napoli;NA;B905
San Paolo Albanese;PZ;B906
Casaloldo;MN;B907
Casalpusterlengo;LO;B910
Casalromano;MN;B911
Casalserugo;PD;B912
Pozzaglio ed Uniti;CR;B914
Trinitapoli;BT;B915
Casaluce;CE;B916
Casalvecchio di Puglia;FG;B917
Casalvecchio Siculo;ME;B918
Casalvieri;FR;B919
Casalvolone;NO;B920
Casalzuigno;VA;B921
Casamarciano;NA;B922
Casamassima;BA;B923
Casamicciola Terme;NA;B924
Casandrino;NA;B925
Casanova Lerrone;SV;B927
Casanova Elvo;VC;B928
Casanova Lonati;PV;B929
Casape;RM;B932
Casapinta;BI;B933
Casaprota;RI;B934
Casapulla;CE;B935
Casarano;LE;B936
Casargo;LC;B937
Casarile;MI;B938
Casarza Ligure;GE;B939
Casarsa della Delizia;PN;B940
Casasco;AL;B941
Casatenovo;LC;B943
Casatisma;PV;B945
Casavatore;NA;B946
Casazza;BG;B947
Cascia;PG;B948
Casciago;VA;B949
Cascina;PI;B950
San Giacomo Vercellese;VC;B952
Cascinette d'Ivrea;TO;B953
Casei Gerola;PV;B954
Caselette;TO;B955
Casella;GE;B956
Caselle Lurani;LO;B958
Caselle in Pittari;SA;B959
Caselle Torinese;TO;B960
Caselle Landi;LO;B961
Scandicci;FI;B962
Caserta;CE;B963
Casier;TV;B965
Casignana;RC;B966
Casina;RE;B967
Castelsilano;KR;B968
Castel di Casio;BO;B969
Casirate d'Adda;BG;B971
Caslino d'Erba;CO;B974
Casnate con Bernate;CO;B977
Casnigo;BG;B978
Casola in Lunigiana;MS;B979
Casola di Napoli;NA;B980
Casola Valsenio;RA;B982
Casole d'Elsa;SI;B984
Casoli;CH;B985
Casorate Sempione;VA;B987
Casorate Primo;PV;B988
Casorezzo;MI;B989
Casoria;NA;B990
Casorzo;AT;B991
Caspoggio;SO;B993
Cassacco;UD;B994
Cassago Brianza;LC;B996
Cassano Irpino;AV;B997
Cassano delle Murge;BA;B998
Cassano Valcuvia;VA;B999
